year,precipitation
1950,1.8713150684931505
1951,0.5843835616438356
1952,0.8677868852459016
1953,0.5139452054794521
1954,0.7951506849315069
1955,0.668082191780822
1956,1.08
1957,1.134164383561644
1958,1.8342739726027397
1959,0.5104931506849315
1960,0.5527868852459016
1961,1.1241643835616437
1962,0.9727671232876712
1963,1.346
1964,1.153415300546448
1965,1.1372054794520547
1966,1.9562739726027396
1967,1.5208493150684932
1968,0.890136612021858
1969,1.235041095890411
1970,1.1423287671232876
1971,0.6985753424657535
1972,0.6015300546448087
1973,0.6164109589041096
1974,0.548054794520548
1975,0.7606575342465753
1976,1.1393169398907104
1977,2.195095890410959
1978,0.3277534246575342
1979,0.9931780821917808
1980,1.5392076502732241
1981,0.8996712328767124
1982,0.9703013698630137
1983,1.8963835616438354
1984,1.0373497267759564
1985,1.3375616438356164
1986,0.7424931506849315
1987,1.3433150684931507
1988,0.9339617486338797
1989,1.3231232876712329
1990,0.8347123287671233
1991,0.8913424657534248
1992,0.8015300546448088
1993,0.9426575342465753
1994,0.8509041095890411
1995,1.0263835616438357
1996,0.8168306010928961
1997,1.4821917808219178
1998,2.0566027397260274
1999,0.5005479452054794
2000,0.5552459016393443
2001,1.1144109589041096
2002,1.3435616438356164
2003,1.2942739726027397
2004,0.7410928961748634
2005,0.6906575342465754
2006,0.6424657534246575
2007,1.6543561643835618
2008,0.6456010928961748
2009,1.1363561643835616
2010,0.9164383561643835
2011,0.3329041095890411
2012,0.7278142076502732
2013,0.8704109589041096
2014,0.921972602739726
2015,0.36994520547945203
2016,0.9203825136612023
2017,1.415808219178082
2018,1.251972602739726
2019,0.8784383561643836
2020,0.927103825136612
2021,0.535917808219178
2022,0.7060821917808219
2023,1.1806301369863015
2024,0.48265027322404375
2025,0.5688493150684931
2026,0.6686027397260275
2027,1.8669589041095889
2028,1.0493169398907105
2029,1.173095890410959
2030,1.28586301369863
2031,0.4972054794520548
2032,0.7257923497267759
2033,1.0617534246575342
2034,1.2042191780821916
2035,1.112082191780822
2036,1.241120218579235
2037,1.7200547945205478
2038,0.6153972602739726
2039,0.66
2040,2.539754098360656
2041,1.0046027397260273
2042,0.5457260273972603
2043,1.190027397260274
2044,0.8656830601092897
2045,0.7137534246575342
2046,0.6014246575342466
2047,1.5056164383561643
2048,0.796912568306011
2049,1.0667671232876712
2050,0.9274246575342465
